,0,1,2
105,神奇,shénqí,"удивительный, чудесный, волшебный"
106,次,cì,сч. сл. для раз
107,台,tái,"сч. сл. для техники (телевизор, компьютер и т.д.)"
108,收货,shōuhuò,"получать заказанный товар, принимать поставку"
109,以后,yǐhòu,"после, потом"
110,觉得,juéde,"полагать, думать"
111,申请,shēnqǐng,подавать заявление
112,退换货,tuìhuànhuò,возврат и замена (обмен) товара
113,退货,tuìhuò,возвращать купленный товар
114,退,tuì,"возвращать, отдавать обратно"
115,换,huàn,"менять, обменивать"
116,再次,zàicì,"повторно, ещё раз"
117,下单,xiàdān,делать заказ
118,包裹,bāoguǒ,"упаковывать, посылка"
119,邮寄,yóujì,отправлять (почтой)
120,длинный,cháng,"длинный, долгий"
121,想,xiǎng,"думать, размышлять, хотеть"
122,等,děng,"ждать, ожидать"
123,订单,dìngdān,заказ (на покупку чего-либо)
124,对了,duìle,"да, так!, совершенно верно!, да, кстати ... (вводное слово)"
125,月,yuè,месяц
126,写错,xiěcuò,написать неправильно
127,收件,shōujiàn,входящие (напр. о почтовых сообщениях или смс)
128,收件人,shōujiànrén,"адресат, получатель (письма)"
129,唉,"āi, ài","ай!, ах! (досада или сожаление), угу!, ага! (согласие)"
130,夸,kuā,хвалить
131,笨,bèn,глупый
